product_name,brands,target,image_url,nutriscore_grade
100% pur jus pomme & kiwi de Rhône-Alpes,Thomas Le Prince,beverages,https://images.openfoodfacts.org/images/products/342/318/210/2640/front_fr.4.400.jpg,c
San Pellegrino Pomegranate and Orange 6X330ML,"Nestlé, San Pellegrino",beverages,,c
Copella Orange Juice Smooth 1.5L,Copella,beverages,,e
La valse des jus,La valse des jus,beverages,https://images.openfoodfacts.org/images/products/376/016/944/1072/front_fr.4.400.jpg,e
Fraise,Fraise,beverages,https://images.openfoodfacts.org/images/products/321/769/914/9232/front_fr.6.400.jpg,e
"Kinley, Bitter Lemon",Coca-Cola,beverages,https://images.openfoodfacts.org/images/products/544/900/004/0008/front_fr.8.400.jpg,e
"Saveur d'Hiver raisin, cannelle","Marque Repère, Jafaden",beverages,https://images.openfoodfacts.org/images/products/356/470/652/1469/front_fr.4.400.jpg,d
Infusion & Fines bulles Verveine Citron,Manufacture Bordeaux,beverages,https://images.openfoodfacts.org/images/products/377/000/805/9306/front_fr.14.400.jpg,c
Mello Yello Soda Citrus Flavored,Coca-Cola,beverages,https://images.openfoodfacts.org/images/products/000/000/497/2501/front_en.10.400.jpg,e
Maguary Passion Fruit Concentrate,Maguary,beverages,https://images.openfoodfacts.org/images/products/789/600/055/5359/front_en.29.400.jpg,b
Rød,Rynkeby,beverages,https://images.openfoodfacts.org/images/products/570/500/111/4002/front_fr.4.400.jpg,e
Jus de pommes reinette du Vigan,Trial,beverages,https://images.openfoodfacts.org/images/products/376/010/172/0012/front_fr.29.400.jpg,e
Ace,Ozia,beverages,https://images.openfoodfacts.org/images/products/376/021/979/9009/front_fr.11.400.jpg,e
pur sucre de canne,Monin,beverages,https://images.openfoodfacts.org/images/products/305/291/109/7799/front_fr.11.400.jpg,e
Boisson pétillante goût pomme-fraise,,beverages,https://images.openfoodfacts.org/images/products/599/988/358/0776/front_fr.3.400.jpg,c
Baobab Guarana,Matahi,beverages,https://images.openfoodfacts.org/images/products/377/000/327/9150/front_en.11.400.jpg,d
Sucht Tea,,beverages,https://images.openfoodfacts.org/images/products/426/065/355/0093/front_fr.3.400.jpg,e
Signature chocolate,Starbucks,beverages,https://images.openfoodfacts.org/images/products/571/195/307/7951/front_fr.18.400.jpg,d
Tisane Bio Un Peu D'Amour Recharge 20 Sachets - Tisanes & Traditions,Tisanes Et Traditions,beverages,https://images.openfoodfacts.org/images/products/376/017/750/0983/front_fr.4.400.jpg,b
Fohrenburger Jubiläum 50cl,,beverages,https://images.openfoodfacts.org/images/products/000/009/016/5023/front_fr.4.400.jpg,unknown
S.pellegrino,"Nestlé, San Pellegrino",beverages,https://images.openfoodfacts.org/images/products/800/227/059/6605/front_fr.3.400.jpg,unknown
Fine bulles pink frambroise,Océan Spray,beverages,https://images.openfoodfacts.org/images/products/120/010/101/1755/front_fr.3.400.jpg,c
Concentré à l'extrait d'artichaut DÉTOX,Gerlinea,beverages,https://images.openfoodfacts.org/images/products/317/568/118/6439/front_fr.6.400.jpg,b
Tropico tropical,Tropico,beverages,https://images.openfoodfacts.org/images/products/332/470/005/7988/front_fr.21.400.jpg,d
Eau de coco,Don Simón,beverages,https://images.openfoodfacts.org/images/products/841/026/163/5033/front_fr.4.400.jpg,b
Jungle/Safari,Capri-Sun,beverages,https://images.openfoodfacts.org/images/products/400/017/702/6717/front_de.23.400.jpg,d
coca zéro,coca-cola,beverages,https://images.openfoodfacts.org/images/products/844/286/213/1805/front_fr.3.400.jpg,unknown
Mineralwasser,Adello mit Kohlensäure,beverages,,unknown
Eau De Coco Sauvage,Cocowell,beverages,https://images.openfoodfacts.org/images/products/912/003/875/2021/front_fr.4.400.jpg,b
Miso-Bouillon (Asia Style),Natur Compagnie,beverages,https://images.openfoodfacts.org/images/products/400/034/504/5007/front_fr.8.400.jpg,c
"Cappuccino Carambar MAXWELL House, recharge de",Maxwell House,beverages,,e
cotes du Jura,,beverages,https://images.openfoodfacts.org/images/products/376/004/170/4158/front_fr.3.400.jpg,unknown
Cherry 7up 330ml x 6 Delivered Worldwide,7 up,beverages,,e
GROG Miel Sommeil,Les Ruchers Du Gué,beverages,https://images.openfoodfacts.org/images/products/342/560/153/3776/front_fr.4.400.jpg,e
venezia,nespresso,beverages,,unknown
Jus De Fruits Et Légumes Bio N°1,BOjus,beverages,https://images.openfoodfacts.org/images/products/376/005/742/0004/front_fr.10.400.jpg,d
Venga Functional infusions Calorie Balance Citron citron vert,,beverages,https://images.openfoodfacts.org/images/products/890/020/002/5556/front_fr.11.400.jpg,b
Plante bio thym sauvage,,beverages,https://images.openfoodfacts.org/images/products/376/000/454/2520/front_fr.3.400.jpg,unknown
Eau Minérale Naturelle avec adjonction de gaz carbonique Source Saint Jean,Auchan,beverages,https://images.openfoodfacts.org/images/products/359/671/036/8310/front_fr.18.400.jpg,b
Lowlander tompouce ale vanilla&rasberry,,beverages,https://images.openfoodfacts.org/images/products/871/999/264/6463/front_fr.3.400.jpg,unknown
bière mc,,beverages,https://images.openfoodfacts.org/images/products/089/622/100/2646/front_fr.4.400.jpg,unknown
Buenos Aires Lungo,"Buenos Aires Lungo, Nespresso",beverages,https://images.openfoodfacts.org/images/products/763/047/780/1836/front_fr.3.400.jpg,unknown
Aloe Refresh,Grace,beverages,https://images.openfoodfacts.org/images/products/503/513/921/7826/front_en.9.400.jpg,c
Perrier - Lime,Perrier,beverages,https://images.openfoodfacts.org/images/products/007/478/091/1566/front_fr.4.400.jpg,b
Fruchtbuttermilch - Multivitamin,Müller,beverages,https://images.openfoodfacts.org/images/products/402/550/016/3396/front_de.56.400.jpg,d
Paderewski,Paderewski,beverages,https://images.openfoodfacts.org/images/products/590/748/452/3078/front_fr.6.400.jpg,unknown
Frutti extra,Uludag,beverages,https://images.openfoodfacts.org/images/products/869/072/369/1894/front_fr.24.400.jpg,e
7 Up-lemon-lime-330ml-(agora Com -30% De A-portugal,7 up,beverages,https://images.openfoodfacts.org/images/products/560/115/197/6906/front_fr.8.400.jpg,d
Select,,beverages,https://images.openfoodfacts.org/images/products/800/033/011/6572/front_fr.3.400.jpg,unknown
Jus De Mûres,Elite naturel,beverages,,d
PULPIZZ BIO,Mascarin,beverages,https://images.openfoodfacts.org/images/products/329/008/206/1113/front_fr.4.400.jpg,c
Happy day Apfel,Rauch,beverages,https://images.openfoodfacts.org/images/products/000/009/016/9946/front_de.18.400.jpg,e
Cowboy cocktail fruit punch,AriZona,beverages,https://images.openfoodfacts.org/images/products/061/300/876/2551/front_fr.3.400.jpg,c
Boisson,Delical,beverages,https://images.openfoodfacts.org/images/products/355/110/142/9957/front_fr.3.400.jpg,unknown
Boisson Chrysanthemum Au Miel 180G,Gold kili,beverages,https://images.openfoodfacts.org/images/products/888/829/602/9019/front_fr.6.400.jpg,e
Infusion rooibos-orange,Naturela,beverages,https://images.openfoodfacts.org/images/products/370/011/003/5004/front_fr.4.400.jpg,b
vergers du santerre,jus de pomme,beverages,https://images.openfoodfacts.org/images/products/347/775/000/0012/front_fr.4.400.jpg,e
Fairtrade Michel Body Guard De Jus de Fruits,Michel,beverages,https://images.openfoodfacts.org/images/products/761/009/716/0254/front_fr.27.400.jpg,e
Mountain dew,Mountain dew,beverages,https://images.openfoodfacts.org/images/products/541/018/802/7389/front_fr.3.400.jpg,e
Ginger bio,Vitamont,beverages,https://images.openfoodfacts.org/images/products/328/919/682/0112/front_fr.18.400.jpg,d
Plus fraise banane,"Parmalat, Santal",beverages,https://images.openfoodfacts.org/images/products/800/258/004/1017/front_fr.4.400.jpg,e
Scheweppes Passion,Scheweppes,beverages,https://images.openfoodfacts.org/images/products/333/480/344/4387/front_fr.6.400.jpg,e
Jus de pomme,L’hermitiere,beverages,https://images.openfoodfacts.org/images/products/376/005/421/0035/front_fr.15.400.jpg,e
ACE,"Parmalat, Santal",beverages,https://images.openfoodfacts.org/images/products/800/258/002/7509/front_fr.4.400.jpg,e
Le Bio !,Joker,beverages,https://images.openfoodfacts.org/images/products/312/334/901/3061/front_fr.4.400.jpg,d
Barrs PM @ 1.59 2LTR Irn Bru,Irn Bru,beverages,,e
San pelegrino,"Nestlé, San Pellegrino",beverages,https://images.openfoodfacts.org/images/products/800/227/044/4562/front_fr.4.400.jpg,e
Protein & greens drink mix,Vega,beverages,https://images.openfoodfacts.org/images/products/083/876/600/6567/front_fr.4.400.jpg,e
Royal Soda Citron,royal soda,beverages,https://images.openfoodfacts.org/images/products/329/209/000/0214/front_fr.23.400.jpg,e
